Sentiment,clean_text
positive,aaj ka event bilkul faadu tha sabko zabardast maza aaya
negative,uski acting mein koi jugaad nazar nahin aaya bilkul disappointing thi
positive,woh tapori style mein dance kar raha tha sab haste hue uska maza le rahe the
positive,mera naya phone bomb nikla features ekdum lit hain
positive,party mein ek banda bilkul bindaas tha mood high rakh raha tha
neutral,uske jokes full on bakchodi the thoda overthetop lag rahe the
negative,office mein sab log ekdum fukra lag rahe the kaam mein dhyan bilkul nahin
neutral,uski entry ne pure scene ko chikna bana diya sab ekdum stunned reh gaye
positive,aaj ke concert mein performance bilkul dhansu thi sab deewane hai gaye
positive,woh naya singer bilkul pataka nikla awaaz mein dum tha
negative,uska attitude bilkul chapri tha sabko irritate kar raha hai
positive,dinner party mein sab ne apna tashan dikhaya mahol ekdum rocking tha
positive,mere dosto ka group bilkul bhaukali hai har baat pe scene set kar dete hain
negative,uska plan bilkul ghanta effective tha sab confused reh gaye
negative,meeting mein ek banda full on lukkha nikla kaam se bilkul hatt ke
negative,woh apni fokat baatein karke sabka time waste karta hai
positive,aaj ka road trip ekdum dhamaakedaar tha full on fun ride
positive,uski style mein sabne bola bhai kitna pukka swag hai
positive,school reunion mein sab log ekdum jhakaas the masti mein doob gaye
negative,uske excuses bilkul feku the koi substance nahin tha
positive,aaj ka mood bilkul chill maar raha tha sab relaxed the
positive,uska overall vibe bilkul jugaadu hai hamesha smart solutions deta hai
positive,party ka setup dekh ke sab bole yeh toh full set hai
negative,uski baatein ekdum bakchodi se bhari hui thi bilkul sense nahin ban paayi
positive,aaj ka performance ekdum sultan jaisa tha sab impressed hai gaye
negative,woh banda apne nakhrat se sabko tang karta rehta hai
negative,uski style mein full on dhong tha sabko fake aur superficial laga
positive,mere dosto ne aaj milke ekdum mast plan banaya full on fun aur laughter tha
negative,uske excuses bilkul thullu the koi bhi unhe believe nahin kar paaya
positive,yaar aaj ka hangout bilkul dhinchak tha sabko ekdum maza aaya
positive,yaar aaj ka plan bilkul dhansu tha sab ke chehre pe muskaan aa gayi
positive,woh party mein full bhaukali style ke saath entry maar raha tha
negative,uska attitude aaj bohot kaand macha raha hai sab pareshan hai gaye
positive,meri ride aaj chakachak thi bilkul smooth aur fast chal rahi thi
negative,aaj ka khana bilkul ghatiya lag raha hai taste mein bilkul kuch khaas nahin tha
positive,usne office ka kaam fatafat nipta diya boss ne bhi tareef kar di
positive,tera naya gadget kitna dumdaar hai sab impressed hai gaye
negative,woh show bilkul ghapla tha pura time waste kar diya yaar
positive,aaj ka event ekdum hatke tha alag hi maza aaya
negative,uski baatein bahut chikna nikli matlab koi asli content hi nahin tha
positive,yaar party mein sab ne apna jugaad dikhaya full on masti thi
positive,uska style dekh ke sab bole kya laayak andaaz hai
negative,aaj ka mood pura fukra tha energy bilkul down thi
negative,woh scene bilkul thullu tha koi sense hi nahin ban paaya
positive,class mein sab ne pukka effort dikhaya performance zabardast thi
negative,uske jokes bilkul feku the asli hasi toh nahin aayi
positive,aaj ka match ekdum dhamaakedaar tha sab mazedaar moments enjoy kar rahe the
negative,usne apne upar zyada panga le liya sab ko irritate kar diya
positive,gaane sun ke sab ka mood ekdum jhakkaas hai gaya dil khush hai gaya
positive,party mein sab ne full on dhinchak vibe create ki maza hi aa gaya
negative,woh dost hamesha nakhrat karta rehta hai thoda annoying lagta hai
positive,uski entry mein sab ne kaha wah kya satrangi style hai
negative,aaj ka dinner bilkul ghanta tha swad bilkul missing tha
positive,uska entry scene bilkul patakha tha sabko chonk ke rakh diya
negative,woh ladka bilkul nakhrebaaz hai har choti baat pe nakhre karta rehta hai
negative,aaj ka game bilkul dhong tha excitement kaafi missing thi
negative,usne apni style se sabko chakar mein daal diya pura trick laga diya
negative,woh banda hamesha kaminey andaaz mein baat karta hai sabko pareshan kar deta hai
positive,aaj ki party mein sab ne full on jalwa dikhaya masti charam pe thi
positive,uski performance bilkul bindaas thi sab impressed hai gaye
negative,yaar tera style bilkul chapri lag raha hai
negative,woh chapri banda hamesha drama karta hai
positive,party mein aaj ek chapri look dekhne ko mila sab zor se hans pade
positive,usne apne chapri attitude se sabko impress kar diya total swag wali baat hai
positive,chapri jokes sun ke pura mahol hil gaya sab masti mein aa gaye
negative,woh apni chapri fashion ka mazaak udata rehta hai thoda zyada hi hai gaya
neutral,aaj raat ka vibe thoda chapri feel aa raha hai normal se alag
neutral,mera friend kitna chapri hai par uski baaton mein ek alag charm hai
negative,uski chapri style mein originality bilkul nahin dikh rahi pura copypaste lagta hai
negative,chapri manners se office ka environment disturb hai raha hai sab ka mood kharab kar diya
positive,aaj ka hangout mein ek chapri banda full on masti mein tha sab ko jhakaas lag raha tha
negative,uska chapri attitude dekh ke sabka mood instantly down hai gaya
positive,party mein ek chapri look dekh ke sabko hansi aa gayi bilkul entertaining moment tha
positive,uska chapri swag ekdum mast tha sab uske style ki tareef karne lage
negative,chapri style ke chalte usko baar baar mazaak ka subject banaya jata hai thoda irritating lagta hai
neutral,aaj ke function mein chapri vibes zyada thi par overall atmosphere chill tha
negative,woh chapri banda apni tareef mein khud hi busy rehta hai thoda egoistic feel deta hai
negative,chapri attitude se aana yaar thoda seriously aao warna sab confused hai jate hain
positive,uski chapri baatein sun ke sab haste rehte hain unmein ek alag masti hai
positive,aaj subah ke hangout mein chapri energy full on thi pura dhamaka macha diya
negative,chapri looks se apni identity banana bekaar ka kaam hai asli swag toh alag hota hai
negative,uske chapri nakhre sabko irritate kar dete hain bilkul overacting lagta hai
neutral,kabhi kabhi chapri jokes mein bhi sachchai chhupi hoti hai so think twice before judging
positive,woh chapri style se sabko surprise kar deta hai ekdum unique combination hai uska
negative,aaj ka scene thoda chapri lag raha hai sab kuch ajeeb aur bakwaas feel hai raha tha
positive,uski chapri muskaan sabko apna bana leti hai full on pyaar aur masti ka combination
negative,chapri moves ke chakkar mein usne apna time barbaad kar diya pure fukra style mein
positive,yaar uska chapri attitude dekh ke sabko lagta hai wo total tapori hai ekdum mast vibe deta hai
negative,chapri behavior se logon ka trust kam hai jata hai bilkul unreliable lagta hai
positive,party mein chapri style ka combination ekdum unique tha sab impressed hue uske unconventional swag se
positive,yaar aaj ka concert ekdum phodu tha sab deewane hai gaye
